index, time[ms], 
33, 0.000005, 
66, 0.000010, 
132, 0.000039, 
264, 0.000134, 
528, 0.000499, 
1056, 0.001912, 
2112, 0.009420, 
4224, 0.036727, 
8448, 0.162326, 
16896, 0.715689, 
33792, 3.152302, 
