index, time[ms], 
33, 0.000003, 
66, 0.000005, 
132, 0.000018, 
264, 0.000072, 
528, 0.000279, 
1056, 0.001046, 
2112, 0.004320, 
4224, 0.020725, 
8448, 0.067850, 
16896, 0.268455, 
33792, 1.127911, 
